rd_seed,T,n/p,p,lambda(sparsity),mu0(thresh),gamma,bic,recall,precision,f1,max_error,norm_error,time (mins)
1996,10,20,250,1.000000e+00,5.000000e-04,1.000000e+00,12547983.564,0.000,NaN,NaN,21.554,0.831,0.805 
1996,10,20,250,9.221979e-01,5.000000e-04,1.000000e+00,12547983.564,0.000,NaN,NaN,21.554,0.831,0.116 
1996,10,20,250,8.504489e-01,5.000000e-04,1.000000e+00,12547983.564,0.000,NaN,NaN,21.554,0.831,0.115 
1996,10,20,250,7.842822e-01,5.000000e-04,1.000000e+00,12547983.564,0.000,NaN,NaN,21.554,0.831,0.114 
1996,10,20,250,7.232634e-01,5.000000e-04,1.000000e+00,12547983.564,0.000,NaN,NaN,21.554,0.831,0.115 
1996,10,20,250,6.669920e-01,5.000000e-04,1.000000e+00,12547983.564,0.000,NaN,NaN,21.554,0.831,0.113 
1996,10,20,250,6.150986e-01,5.000000e-04,1.000000e+00,12547983.564,0.000,NaN,NaN,21.554,0.831,0.113 
1996,10,20,250,5.672426e-01,5.000000e-04,1.000000e+00,12547983.564,0.000,NaN,NaN,21.554,0.831,0.113 
1996,10,20,250,5.231099e-01,5.000000e-04,1.000000e+00,12547983.564,0.000,NaN,NaN,21.554,0.831,0.114 
1996,10,20,250,4.824109e-01,5.000000e-04,1.000000e+00,12547983.564,0.000,NaN,NaN,21.554,0.831,0.113 
1996,10,20,250,4.448783e-01,5.000000e-04,1.000000e+00,12547983.564,0.000,NaN,NaN,21.554,0.831,0.113 
1996,10,20,250,4.102658e-01,5.000000e-04,1.000000e+00,12547983.564,0.000,NaN,NaN,21.554,0.831,0.114 
1996,10,20,250,3.783463e-01,5.000000e-04,1.000000e+00,12547983.564,0.000,NaN,NaN,21.554,0.831,0.113 
1996,10,20,250,3.489101e-01,5.000000e-04,1.000000e+00,12547983.564,0.000,NaN,NaN,21.554,0.831,0.113 
1996,10,20,250,3.217642e-01,5.000000e-04,1.000000e+00,12547983.564,0.000,NaN,NaN,21.554,0.831,0.112 
1996,10,20,250,2.967302e-01,5.000000e-04,1.000000e+00,12547983.564,0.000,NaN,NaN,21.554,0.831,0.113 
1996,10,20,250,2.736440e-01,5.000000e-04,1.000000e+00,12547983.564,0.000,NaN,NaN,21.554,0.831,0.114 
1996,10,20,250,2.523539e-01,5.000000e-04,1.000000e+00,12547983.564,0.000,NaN,NaN,21.554,0.831,0.113 
1996,10,20,250,2.327202e-01,5.000000e-04,1.000000e+00,12547983.564,0.000,NaN,NaN,21.554,0.831,0.115 
1996,10,20,250,2.146141e-01,5.000000e-04,1.000000e+00,12547983.564,0.000,NaN,NaN,21.554,0.831,0.113 
1996,10,20,250,1.979167e-01,5.000000e-04,1.000000e+00,12547983.564,0.000,NaN,NaN,21.554,0.831,0.113 
1996,10,20,250,1.825183e-01,5.000000e-04,1.000000e+00,12547983.564,0.000,NaN,NaN,21.554,0.831,0.114 
1996,10,20,250,1.683180e-01,5.000000e-04,1.000000e+00,12547983.564,0.000,NaN,NaN,21.554,0.831,0.113 
1996,10,20,250,1.552225e-01,5.000000e-04,1.000000e+00,12547983.564,0.000,NaN,NaN,21.554,0.831,0.113 
1996,10,20,250,1.431459e-01,5.000000e-04,1.000000e+00,12547983.564,0.000,NaN,NaN,21.554,0.831,0.113 
1996,10,20,250,1.320088e-01,5.000000e-04,1.000000e+00,12547983.564,0.000,NaN,NaN,21.554,0.831,0.113 
1996,10,20,250,1.217383e-01,5.000000e-04,1.000000e+00,12547983.564,0.000,NaN,NaN,21.554,0.831,0.112 
1996,10,20,250,1.122668e-01,5.000000e-04,1.000000e+00,12547983.564,0.000,NaN,NaN,21.554,0.831,0.112 
1996,10,20,250,1.035322e-01,5.000000e-04,1.000000e+00,12547983.564,0.000,NaN,NaN,21.554,0.831,0.112 
1996,10,20,250,9.547716e-02,5.000000e-04,1.000000e+00,12547983.564,0.000,NaN,NaN,21.554,0.831,0.112 
1996,10,20,250,8.804884e-02,5.000000e-04,1.000000e+00,12547983.564,0.000,NaN,NaN,21.554,0.831,0.111 
1996,10,20,250,8.119845e-02,5.000000e-04,1.000000e+00,12547983.564,0.000,NaN,NaN,21.554,0.831,0.110 
